predictor,pathway,family,cohorts_n,meta_partial_rho,ci_low,ci_high,p_value,tau2_DL,Q,Q_df,Q_p_value,I2_percent,direction_concordant,fdr_bh
ARL11_prevalence_residual,lipid_metabolism,primary,2,-0.28322534807227207,-0.5183543760181111,-0.008283424884555248,0.043654771240063596,0.0,0.30107924939800246,1,0.5832066181426867,0.0,True,0.21827385620031797
ARL11_prevalence_residual,antigen_presentation,primary,2,-0.1269710058983273,-0.3889494599168257,0.15400642235622433,0.3764509180748846,0.0,0.10256896617452232,1,0.7487682860619975,0.0,True,0.7331667012790977
ARL11_prevalence_residual,ECM_remodelling,primary,2,0.11193813729896213,-0.17114723614006766,0.37795074516498767,0.4399000207674586,0.0006921199646432189,1.0164955258239967,1,0.3133517249964178,1.6227839085297526,False,0.7331667012790977
ARL11_prevalence_residual,T_cell_exclusion_like,primary,2,0.07467596803021756,-0.20513413348566434,0.3432014138413599,0.6042244045545022,0.0,0.9205236572181772,1,0.3373375145427171,0.0,False,0.7552805056931278
ARL11_prevalence_residual,phagolysosome,primary,2,0.043128065457762314,-0.23525657422270843,0.31497289893643776,0.7649511332178571,0.0,0.4270466518020046,1,0.5134416808871811,0.0,False,0.7649511332178571
ARL11_prevalence_residual,MAPK_ERK_immediate_early,secondary,2,-0.17791673481146195,-0.517108665141841,0.20957232922681762,0.3692482341276103,0.03842053738467312,1.9156894743347093,1,0.16633262984446684,47.79947306714282,False,0.9115748258326002
ARL11_prevalence_residual,STING_typeI_IFN_response,secondary,2,0.04833400801254358,-0.2303224294836665,0.3196644576278508,0.7375278027943171,0.0,0.010048256343699111,1,0.9201530035049462,0.0,True,0.9115748258326002
ARL11_prevalence_residual,efferocytosis,secondary,2,-0.04071728901942638,-0.31279581442075066,0.23753663543879458,0.7777489810182702,0.0,0.7051412810980346,1,0.4010615230266549,0.0,False,0.9115748258326002
ARL11_prevalence_residual,p38_stress_response,secondary,2,-0.05785924257683411,-0.4321597374027498,0.33344702078246136,0.7790304458701056,0.043421373186434305,2.034876060943351,1,0.15372671473192648,50.856957866200034,False,0.9115748258326002
ARL11_prevalence_residual,dysfunction_tolerization,secondary,2,0.016027654914264243,-0.26071239604305807,0.2903337148275391,0.9115748258326003,0.0,0.05885580140978145,1,0.8083136183423351,0.0,False,0.9115748258326002
high_cluster_logit_residual,phagolysosome,primary,2,0.3216136728698687,0.05050127916872532,0.5485798572338764,0.020878134033553732,0.0,0.11514701420529483,1,0.7343587418978619,0.0,True,0.10439067016776866
