score,n,beta_delta,ci_low,ci_high,p_value,FDR
consensus_state,144,-0.24283240987075763,-0.9045024376197851,0.4188376178782699,0.4719528126073226,0.7079292189109838
state_residual,144,-0.12632652937045924,-0.31971684087538843,0.06706378213446995,0.2004435888235785,0.6013307664707355
generic_macrophage,144,0.0462856067512496,-0.21945605183400896,0.31202726533650815,0.7328196968326727,0.7328196968326727
