score,timepoint,n,median_change,p_value,positive_fraction,FDR
consensus_state,week2,25,0.242714714210999,0.000429689884185791,0.8,0.0007342100143432617
consensus_state,month3,25,0.29559778293334643,0.0030878782272338867,0.76,0.00463181734085083
state_residual,week2,25,1.202037543430877,0.003419220447540283,0.8,0.003419220447540283
state_residual,month3,25,1.6341300614618115,0.002507925033569336,0.8,0.00463181734085083
generic_macrophage,week2,25,0.4337005713394946,0.0004894733428955078,0.76,0.0007342100143432617
generic_macrophage,month3,25,-0.0321167510956146,0.6528410911560059,0.48,0.6528410911560059
