analysis,score,n,ai_n,control_n,beta_ai,ci_low,ci_high,p_value,FDR
AI_vs_control_ANCOVA,consensus_state,213,157,56,0.10569805925954012,0.031476152054653844,0.1799199664644264,0.005252131602264463,0.01575639480679339
AI_vs_control_ANCOVA,state_residual,213,157,56,0.3297731910013668,0.07552755185667454,0.5840188301460592,0.01101567317991201,0.016523509769868015
AI_vs_control_ANCOVA,generic_macrophage,213,157,56,0.09903043477513022,-0.07705951695589462,0.27512038650615506,0.27035068926691375,0.27035068926691375
