family,outcome,patients_n,meta_rho,ci_low,ci_high,p_value,tau2_DL,Q,Q_p_value,I2_percent,direction_concordant,fdr_bh,expected_direction,matches_expected_direction
boundary,histology_mixed_fraction,2,-0.1677662842670279,-0.5504468646616106,0.27317112074666844,0.46035936151629875,0.0,0.0873619977878837,0.7675580052187548,0.0,True,0.8619241999387577,,False
boundary,tumor_caf_coexistence,4,-0.1318476432614293,-0.5340124844445127,0.3189719583691614,0.5746161332925052,0.11186878895436758,6.014242369048238,0.11091935516091078,50.118405346627995,False,0.8619241999387577,positive,False
boundary,boundary_proximity,4,0.023584367733971153,-0.3671655735947435,0.4072588007338413,0.9099389259799217,0.06259111077963993,4.686482707118076,0.19624749627750376,35.98610754621067,False,0.9099389259799217,positive,True
caf_niche,caf_total,4,0.1239502462824831,-0.2447807721616849,0.4613580500533315,0.5142967970652346,0.0347150066072177,3.935376566916699,0.268527378184158,23.768413289342494,False,0.6031569749504884,positive,True
caf_niche,local_caf,4,0.10079180146245798,-0.27305778295547783,0.44819193601400803,0.6031569749504884,0.04009133575216427,4.080238768877759,0.25292912913368626,26.474891055821015,False,0.6031569749504884,positive,True
cd8_relation,distance_to_cd8_rich,4,0.4464775323298866,-0.14285735383765588,0.8020830453187893,0.13148096332582612,0.2939916650589972,10.921442086311869,0.012158341437205854,72.53110004804239,True,0.1490861526613004,positive,True
cd8_relation,local_cd8,4,-0.2951599537533472,-0.6153446098474339,0.10862895087644905,0.1490861526613004,0.06646446805446234,4.790848167023013,0.18776872270092432,37.380607871274464,False,0.1490861526613004,negative,True
tumor_nest,cancer_total,4,-0.06692465273965532,-0.3745382723334252,0.2539604918236059,0.6875743498201019,0.0,0.2587327988427425,0.9675931889870246,0.0,False,0.9472582170248028,positive,False
tumor_nest,local_cancer,4,-0.01102459240783067,-0.3254150901103621,0.3055607588710326,0.9472582170248028,0.0,0.4113917815083428,0.9378792952672763,0.0,False,0.9472582170248028,positive,False
