family,outcome,patients_n,meta_rho,ci_low,ci_high,p_value,tau2_DL,Q,Q_p_value,I2_percent,direction_concordant,fdr_bh,grid_q
boundary,boundary_proximity,4,0.37998601747307875,-0.18038427701917364,0.7541316407607304,0.17822318271191206,0.01987027781504998,3.17883250033545,0.36486602409172814,5.625728952896333,False,0.5346695481357362,3
boundary,histology_mixed_fraction,2,-0.23735590244882712,-0.7787305200335464,0.5066379819836473,0.553379440545219,0.0,0.987914599902139,0.32025259916506577,0.0,False,0.5967055173516471,3
boundary,tumor_caf_coexistence,4,0.1579344899145325,-0.4058851396479351,0.6346774874443231,0.5967055173516471,0.029049153710033297,3.2614423833902997,0.3530453012067975,8.016158271621157,False,0.5967055173516471,3
caf_niche,caf_total,4,0.2547804711986813,-0.2961413849525768,0.6784960399246369,0.3668111402667388,0.0,2.808438823366679,0.4221126198821681,0.0,False,0.6284705044698856,3
caf_niche,local_caf,4,0.13878288121301496,-0.4020727426112529,0.6078394277793611,0.6284705044698856,0.0,1.907325314672069,0.5918626531005664,0.0,False,0.6284705044698856,3
cd8_relation,distance_to_cd8_rich,4,0.6068325905560669,-0.339567415742866,0.9426578473538507,0.19202266507196375,0.8310746440727096,10.479671796654387,0.014899431018892304,71.37314929120448,False,0.3840453301439275,3
cd8_relation,local_cd8,4,-0.25825803309528184,-0.723480563493047,0.36827667048667667,0.4260499221605444,0.10749348768639057,3.967441389177515,0.2650014023169279,24.384516222886763,False,0.4260499221605444,3
tumor_nest,local_cancer,4,-0.12699330264129516,-0.6002167592631039,0.4120853938345769,0.6582679705242931,0.0,0.6825519542948044,0.8773000290395638,0.0,False,0.6585010917901224,3
tumor_nest,cancer_total,4,-0.12690179744106028,-0.600157257562494,0.412162601478938,0.6585010917901224,0.0,0.6821989630632427,0.8773827298437128,0.0,False,0.6585010917901224,3
boundary,boundary_proximity,4,0.09514994290778944,-0.15228766957448409,0.3313632764790948,0.45236096935758174,0.0,2.448677071120059,0.4846377253648141,0.0,False,0.8310269465140332,5
boundary,tumor_caf_coexistence,4,-0.11722881996482712,-0.46826846682970524,0.2657725840704038,0.5540179643426888,0.0931091711095395,7.298039479282291,0.06298118444582904,58.8930697276109,False,0.8310269465140332,5
boundary,histology_mixed_fraction,2,0.024207874019144628,-0.2977855047065674,0.3412557211993598,0.8860977182623186,0.0,0.20256737170770753,0.6526564697132716,0.0,False,0.8860977182623188,5
caf_niche,caf_total,4,0.040008423070443035,-0.3150084185559041,0.3852034741743287,0.8303181146684949,0.07432246753898247,6.430821001557546,0.09243104378691828,53.349657854364175,False,0.8462860701906493,5
caf_niche,local_caf,4,0.04020277834885195,-0.3508931738103961,0.41935645308306224,0.8462860701906493,0.10684230354569124,7.931978592705941,0.047438621293054976,62.17841532302258,False,0.8462860701906493,5
cd8_relation,distance_to_cd8_rich,4,0.16228254461243244,-0.11635611599102845,0.41724010913415355,0.2527911046889926,0.017182430818182663,3.793163177445787,0.28468237006305824,20.910336316717103,False,0.3187517775959333,5
cd8_relation,local_cd8,4,-0.1747670798197016,-0.4805570482576096,0.16891427726221198,0.3187517775959333,0.060284558718259225,5.7828130169622245,0.12266845129178298,48.12213379197357,False,0.3187517775959333,5
tumor_nest,local_cancer,4,-0.0517696971775613,-0.2919862556987386,0.19459077501405267,0.6832738528099751,0.0,1.184898844261587,0.756628424483673,0.0,False,0.9292397954169745,5
tumor_nest,cancer_total,4,0.011277302919308597,-0.23326772918607822,0.25448074739849424,0.9292397954169745,0.0,2.784885802193008,0.42599403052391727,0.0,False,0.9292397954169745,5
