"cohort","score_type","n","events","base_concordance","full_concordance","delta_concordance","likelihood_ratio_chisq","lr_p_value"
"TCGA-BRCA","consensus",804,114,0.681223566440445,0.679551490115078,-0.00167207632536637,0.65200268663159,0.419397575597194
"TCGA-BRCA","common",804,114,0.681223566440445,0.680633421855021,-0.000590144585423391,0.269753677538461,0.603497055326203
"METABRIC","consensus",1408,787,0.670913194628958,0.670941162979972,2.79683510139295e-05,2.46098392007298,0.116705656428878
"METABRIC","common",1408,787,0.670913194628958,0.670941162979972,2.79683510139295e-05,2.46098392008753,0.116705656427798
"GSE96058","consensus",3114,316,0.775783643105553,0.776232755245399,0.000449112139846553,0.222888304257594,0.63684793326462
"GSE96058","common",3114,316,0.775783643105553,0.775760611713766,-2.30313917870539e-05,0.0400962785670345,0.841292453636672
