score_type,model,cohorts_n,logHR,HR,CI_low_normal,CI_high_normal,p_value_normal,CI_low_mKH,CI_high_mKH,p_value_mKH,tau2_DL,Q,Q_p_value,I2_percent,direction_concordant
consensus,unadjusted,3,-0.05475853736044294,0.9467137163498639,0.8733688215979382,1.0262180633894595,0.18320332618944024,0.778532509914374,1.1512259916076537,0.3515583614972082,0.002278446687848543,3.5556090328266263,0.16900879628104268,43.75084601441552,False
consensus,abundance_adjusted,3,-0.08286057123529904,0.9204794795900767,0.8748662136149638,0.9684709035058414,0.0013959368813716813,0.8233034765006353,1.0291253426351403,0.08555189578542062,0.0,1.9310204238210886,0.3807888671527288,0.0,True
consensus,clinical,3,-0.03594964913193022,0.9646888651820783,0.9103237300398344,1.0223007221459155,0.22446594268706332,0.8493492740640823,1.095691295706072,0.34841887247096837,0.0,1.7943103855700784,0.4077279187726969,0.0,False
common,unadjusted,3,-0.05916312799607656,0.9425529998333412,0.8948009311433058,0.9928534119423583,0.025721830353385718,0.840889414649278,1.0565077191099748,0.15546101889371283,0.0,1.9176866480624328,0.3833360252097831,0.0,True
common,abundance_adjusted,3,-0.09133911999113217,0.9127081408349076,0.8605171651511022,0.9680645361676625,0.0023629036714654726,0.8020374163257423,1.0386499848879636,0.09328910372622927,0.00047887548282437274,2.349354145365015,0.30891872187659314,14.870220654227357,True
common,clinical,3,-0.038282936046425846,0.9624405932281631,0.9080337459742638,1.0201073468910837,0.19723913411944682,0.847024903373062,1.093582835409745,0.32623834204533964,0.0,1.0436217849262586,0.5934449094175216,0.0,False
